Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1996:Q2,Other,3.8,3.9,4.1,4.2,2.8,4.5,4.3,4,3.8,4.8,5,4.5,3.4,4.293151215785235
1996:Q3,White,90.7,89.8,88.2,87.6,95.3,85.2,87.3,93,91.6,84.7,84.9,82.4,91.9,87.33502822662966
1996:Q3,Black,3.7,4.1,4.7,5.1,1.3,7.9,5.2,1.6,2.8,6.5,6.2,8.3,2.4,5.23013514920109
1996:Q3,Hispanic,1.9,2.2,2.9,3.1,0.7,2.7,3.1,1.3,1.9,4.1,4,4.9,1.7,3.1003056079346383
1996:Q3,Other,3.7,3.9,4.2,4.1,2.7,4.2,4.3,4.1,3.7,4.8,5,4.5,4,4.334531016234612
1996:Q4,White,90.7,89.9,88.1,87.5,95.2,85.7,87.3,92.7,91.7,84.7,84.8,82.6,91.8,87.31098896667386
1996:Q4,Black,3.7,4.1,4.7,5.2,1.4,7.7,5.4,1.6,2.8,6.4,6.2,8,2,5.391566878652537
1996:Q4,Hispanic,2,2.3,3,3.2,0.7,2.7,3,1.4,1.9,4.1,4,4.9,1.8,2.9963635214681945
1996:Q4,Other,3.6,3.8,4.2,4.1,2.7,3.9,4.3,4.2,3.6,4.9,5,4.5,4.5,4.30108063320541
1997:Q1,White,90.7,89.8,88,87.5,95.2,86.1,87.4,92.4,91.5,84.7,84.8,82.8,91,87.41349427498373
1997:Q1,Black,3.7,4.1,4.6,5.2,1.4,7.5,5.2,1.6,2.9,6.3,6.1,7.7,2,5.221167024763488
1997:Q1,Hispanic,2,2.3,3.1,3.2,0.8,2.8,3,1.5,2,4.1,4,5,2,2.9776018474334474
1997:Q1,Other,3.6,3.8,4.2,4.1,2.6,3.6,4.4,4.4,3.5,4.9,5.1,4.4,5,4.387736852819322
1997:Q2,White,90.8,90,88,87.6,95.2,86.6,87.2,92.2,91.6,84.7,84.8,83,90.6,87.22565651521779
1997:Q2,Black,3.6,4,4.6,5,1.4,7.3,5.5,1.6,3,6.2,6.1,7.5,1.9,5.4970255247334805
1997:Q2,Hispanic,2.1,2.4,3.2,3.3,0.8,2.8,2.9,1.6,2.1,4.1,4,5.1,2.2,2.888085016116043
1997:Q2,Other,3.5,3.7,4.3,4.1,2.6,3.3,4.4,4.5,3.3,5,5.1,4.4,5.3,4.38923294393269
1997:Q3,White,90.9,90.1,87.9,87.7,95.2,87,87.1,91.9,91.6,84.7,84.7,83.1,90.9,87.11443746542265
1997:Q3,Black,3.6,3.9,4.5,4.9,1.4,7.1,5.7,1.7,3,6.1,6.1,7.3,1.5,5.652552162513765
1997:Q3,Hispanic,2.1,2.4,3.2,3.4,0.9,2.9,2.8,1.7,2.2,4.2,4,5.2,2.1,2.8217212447036886
1997:Q3,Other,3.4,3.6,4.4,4,2.5,3,4.4,4.7,3.1,5,5.2,4.4,5.5,4.411289127359887
1997:Q4,White,90.9,90.1,87.7,87.5,95.1,87.4,87.2,91.6,91.7,84.8,84.9,83.3,90,87.22760256631204
1997:Q4,Black,3.6,3.9,4.5,5,1.5,6.9,5.5,1.7,3,6,6,7.1,1.5,5.476776949709195
1997:Q4,Hispanic,2.2,2.5,3.4,3.4,0.9,2.9,2.8,1.9,2.3,4.2,3.9,5.3,2.4,2.7962727105865275
1997:Q4,Other,3.3,3.6,4.4,4,2.5,2.7,4.5,4.8,3,5,5.2,4.4,6,4.499347773392238
1998:Q1,White,91,90.2,87.7,87.6,95.2,87.8,87.1,91.4,91.8,84.9,85,83.5,89.6,87.06108685968532
1998:Q1,Black,3.5,3.8,4.5,5,1.4,6.8,5.7,1.7,3,5.9,5.9,6.8,1.4,5.7273339532450835
1998:Q1,Hispanic,2.2,2.5,3.4,3.5,0.9,3,2.7,2,2.4,4.2,3.9,5.4,2.6,2.718260416401615
1998:Q1,Other,3.2,3.5,4.4,4,2.5,2.4,4.5,4.9,2.8,5.1,5.2,4.3,6.4,4.493318770667975
1998:Q2,White,91,90.2,87.5,87.6,95.1,87.8,87.1,91.2,92.1,84.8,84.9,83.6,89.4,87.12513550469829
1998:Q2,Black,3.5,3.8,4.5,4.9,1.5,6.6,5.6,1.7,3,5.9,6,6.7,1.3,5.629545675231253
1998:Q2,Hispanic,2.3,2.6,3.5,3.5,1,3.1,2.7,2,2.4,4.2,3.9,5.4,2.6,2.679339771763129
1998:Q2,Other,3.2,3.5,4.4,3.9,2.4,2.5,4.6,5,2.5,5.1,5.2,4.3,6.7,4.565979048307326
1998:Q3,White,91,90.1,87.5,87.9,95,87.8,87.5,91,92.2,84.8,84.8,83.7,88.8,87.48962917261761
1998:Q3,Black,3.4,3.8,4.4,4.7,1.6,6.5,5.1,1.7,3,5.8,6,6.6,1.1,5.129954903518072
1998:Q3,Hispanic,2.4,2.7,3.5,3.6,1.1,3.2,2.7,2.1,2.4,4.2,3.9,5.5,2.8,2.653363829417359
1998:Q3,Other,3.2,3.5,4.5,3.8,2.4,2.5,4.7,5.1,2.4,5.1,5.2,4.3,7.3,4.727052094446963
1998:Q4,White,91.1,90.2,87.6,87.6,95.2,87.6,87.1,91.2,92.1,84.6,84.8,83.2,89.1,87.14252911984232
1998:Q4,Black,3.4,3.8,4.4,5,1.4,6.5,5.6,1.7,3,6,6.1,6.9,1.3,5.642671833686352
1998:Q4,Hispanic,2.3,2.6,3.5,3.6,1,3.3,2.7,2,2.4,4.3,4,5.6,2.8,2.718084498121971
1998:Q4,Other,3.2,3.4,4.4,3.8,2.4,2.5,4.5,5.1,2.5,5.1,5.2,4.3,6.8,4.496714548349357
1999:Q1,White,91.2,90.3,87.8,87.7,95.2,87.5,87.1,91.5,92.3,84.5,84.7,82.7,89.7,87.12154222016731
1999:Q1,Black,3.4,3.7,4.4,5,1.4,6.6,5.7,1.6,2.9,6.1,6.1,7.2,1.5,5.689997038924973
1999:Q1,Hispanic,2.3,2.6,3.4,3.6,1,3.3,2.8,1.9,2.3,4.4,4.1,5.6,2.5,2.8045610613013525
1999:Q1,Other,3.2,3.4,4.4,3.7,2.4,2.6,4.4,5,2.4,5,5.1,4.4,6.2,4.383899679606357
1999:Q2,White,91.3,90.3,87.9,87.5,95.3,87.3,87,91.7,92.3,84.4,84.6,82.3,90.6,87.02992181213702
1999:Q2,Black,3.3,3.7,4.3,5.2,1.3,6.6,5.8,1.5,3,6.3,6.3,7.6,1.7,5.837150335929225
1999:Q2,Hispanic,2.2,2.5,3.4,3.6,0.9,3.4,2.9,1.9,2.3,4.5,4.2,5.7,2.3,2.8739872981843844
1999:Q2,Other,3.2,3.4,4.4,3.6,2.4,2.6,4.3,4.9,2.4,4.8,5,4.4,5.3,4.258940553749383
1999:Q3,White,91.3,90.3,88.1,87.6,95.4,87.2,87.2,91.8,92.4,84.3,84.5,81.8,91.3,87.18301790573315
1999:Q3,Black,3.3,3.7,4.3,5.3,1.3,6.7,5.7,1.5,3,6.4,6.3,8,1.8,5.660775752979459
1999:Q3,Hispanic,2.2,2.5,3.3,3.6,1,3.4,3,1.8,2.2,4.5,4.3,5.7,2.1,2.967212479755172
1999:Q3,Other,3.2,3.4,4.3,3.5,2.4,2.7,4.2,4.9,2.4,4.8,4.8,4.5,4.8,4.18899386153222
1999:Q4,White,91.4,90.5,88.2,87.5,95.5,87,86.9,91.9,92.2,84.5,84.7,81.5,92.4,86.91763722693013
1999:Q4,Black,3.3,3.7,4.3,5.5,1.1,6.8,6,1.4,3.1,6.5,6.3,8.3,2,6.022361921389942
1999:Q4,Hispanic,2.1,2.5,3.3,3.6,0.9,3.5,3,1.8,2.1,4.4,4.3,5.6,1.8,3.005684963590683
1999:Q4,Other,3.2,3.4,4.3,3.4,2.5,2.7,4.1,4.8,2.6,4.6,4.7,4.5,3.8,4.054315888089256
2000:Q1,White,91.4,90.5,88.3,87.4,95.6,86.8,86.8,92.2,92.2,84.7,85,81.2,93.1,86.83310292065717
2000:Q1,Black,3.3,3.7,4.3,5.6,1.1,6.9,6.2,1.4,3.1,6.5,6.2,8.7,2.2,6.15149216275992
2000:Q1,Hispanic,2.1,2.4,3.2,3.6,0.8,3.5,3.1,1.7,2.1,4.4,4.2,5.6,1.7,3.057954885326371
2000:Q1,Other,3.2,3.3,4.2,3.3,2.5,2.7,4,4.7,2.6,4.5,4.6,4.5,3,3.9574500312565384
2000:Q2,White,91.4,90.4,88.3,87.3,95.6,86.7,86.9,92.3,92.3,84.5,85,80.7,93.4,86.891831108739
2000:Q2,Black,3.3,3.8,4.3,5.8,1.1,7,6.1,1.4,3.1,6.7,6.2,9.1,2.3,6.085800992979711
2000:Q2,Hispanic,2.1,2.4,3.2,3.6,0.9,3.5,3.1,1.6,2,4.4,4.3,5.6,1.5,3.132716646870649
2000:Q2,Other,3.2,3.3,4.2,3.2,2.5,2.8,3.9,4.7,2.6,4.4,4.5,4.6,2.8,3.8896512514106445
2000:Q3,White,91.4,90.4,88.4,87.4,95.7,86.5,86.9,92.3,92.4,84.4,85,80.3,93.9,86.85782090233958
2000:Q3,Black,3.3,3.8,4.3,5.8,1,7.1,6.1,1.3,3.1,6.8,6.3,9.5,2.4,6.12525538167181
2000:Q3,Hispanic,2.1,2.4,3.1,3.7,0.8,3.6,3.2,1.6,1.9,4.4,4.3,5.5,1.3,3.1962623400757777
2000:Q3,Other,3.2,3.3,4.2,3.1,2.4,2.8,3.8,4.7,2.5,4.3,4.4,4.7,2.4,3.8206613759128296
2000:Q4,White,91.4,90.3,88.4,87.2,95.6,86.3,87,92.4,92.7,84.1,84.9,79.8,93.8,86.98880106831544
2000:Q4,Black,3.4,3.9,4.4,6.1,1,7.2,5.9,1.3,3,7.1,6.4,9.9,2.6,5.942075932599027
2000:Q4,Hispanic,2.1,2.5,3.1,3.7,0.9,3.6,3.3,1.6,1.8,4.5,4.4,5.5,1.1,3.292749028664089
2000:Q4,Other,3.1,3.3,4.1,3.1,2.4,2.8,3.8,4.7,2.5,4.3,4.3,4.7,2.5,3.776373970421445
2001:Q1,White,91.2,90.2,88.2,87,95.6,86.1,87.2,92.5,92.8,83.9,84.8,79.3,94.2,87.19801819864949
2001:Q1,Black,3.4,4,4.5,6.3,1,7.4,5.6,1.3,3,7.3,6.5,10.4,2.6,5.614863279203469
2001:Q1,Hispanic,2.2,2.5,3.2,3.7,0.9,3.6,3.4,1.6,1.7,4.5,4.5,5.5,0.8,3.429443501659632
2001:Q1,Other,3.2,3.3,4.1,3,2.4,2.9,3.8,4.6,2.5,4.3,4.2,4.8,2.4,3.757675020487408
2001:Q2,White,91.3,90.2,88.2,87,95.7,85.9,87,92.6,92.8,83.5,84.4,78.8,94.8,87.03113893274242
2001:Q2,Black,3.4,4,4.5,6.4,1,7.5,5.8,1.2,3.1,7.6,6.8,10.8,2.8,5.7834410698762735
2001:Q2,Hispanic,2.1,2.5,3.2,3.7,0.9,3.6,3.5,1.5,1.7,4.7,4.7,5.7,0.6,3.479566474044681
2001:Q2,Other,3.2,3.3,4.1,3,2.4,2.9,3.7,4.6,2.5,4.2,4.2,4.8,1.8,3.705853523336616
2001:Q3,White,91.2,90.1,88.3,86.9,95.6,85.7,87.2,92.7,92.9,83.5,84.4,78.3,95.3,87.21523609206999
2001:Q3,Black,3.4,4.1,4.5,6.5,1,7.7,5.4,1.2,3,7.6,6.8,11.2,3,5.429995498471199
2001:Q3,Hispanic,2.1,2.5,3.1,3.7,0.9,3.6,3.6,1.5,1.6,4.7,4.7,5.6,0.7,3.644338822504991
2001:Q3,Other,3.2,3.4,4.1,2.9,2.4,3,3.7,4.6,2.5,4.1,4.1,4.9,1,3.7104295869538277
2001:Q4,White,91.3,90,88,86.7,95.6,85.6,87.1,92.8,92.9,82.8,83.6,78.1,95.4,87.0508111127008
2001:Q4,Black,3.5,4.1,4.6,6.5,1,7.8,5.8,1.3,3,7.9,7.1,11.3,2.8,5.775152308078606
