Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1992:Q3,Bottom50,4.3,7.9,13.9,21.2,1.6,4,5.1,1.8,5.2,30.6,26.1,50.3,14.1,5.125427515893596
1992:Q4,TopPt1,9.1,7.9,3.6,4.7,17.6,0.7,0.9,20,10.6,0.5,0.3,0.1,5.2,0.9027826530605153
1992:Q4,RemainingTop1,14.3,12.8,7.8,7.9,27.1,3.2,8.4,25.6,15.4,3.7,3.4,1.5,18,8.376805408910911
1992:Q4,Next9,35.5,33.2,27.5,22.8,35.5,39,43.2,34.1,36,19.2,21.2,9.1,32.2,43.19461889268022
1992:Q4,Next40,36.9,38,46.9,43.1,18.3,53.2,42.1,18.5,32.8,45.3,48.4,38.6,28.3,42.12751700711007
1992:Q4,Bottom50,4.2,8,14.2,21.5,1.5,3.9,5.4,1.8,5.3,31.3,26.6,50.7,16.3,5.398276038238281
1993:Q1,TopPt1,9.4,8.2,3.6,6.1,17.7,0.6,0.9,20.3,11.2,0.6,0.4,0.1,5.1,0.938936632053793
1993:Q1,RemainingTop1,14.5,13,7.8,7.7,27.7,3.1,8.5,26,15.5,3.7,3.5,1.5,16.8,8.464750427964692
1993:Q1,Next9,35.4,33.1,28,21.5,35.1,39.4,42.7,33.6,35.3,19.1,21.1,8.9,31.2,42.74614765478001
1993:Q1,Next40,36.6,37.8,46.7,42.8,17.9,53.1,42.2,18.3,32.6,45,48,38.2,28.4,42.18206963857371
1993:Q1,Bottom50,4.1,7.9,13.9,21.9,1.5,3.8,5.7,1.8,5.3,31.7,27.1,51.2,18.5,5.668095646627798
1993:Q2,TopPt1,9.5,8.3,3.5,6.1,17.8,0.6,0.9,20.4,11.6,0.6,0.4,0.1,5.2,0.9458333064104469
1993:Q2,RemainingTop1,14.6,13.1,7.7,7.6,28.3,2.9,8.6,26.5,15.7,3.8,3.5,1.5,16.8,8.572203950556657
1993:Q2,Next9,35.1,32.9,27.7,21.5,34.9,39.8,42.5,33.1,34.7,18.7,20.8,8.8,29.3,42.46661023629679
1993:Q2,Next40,36.6,37.7,46.8,42.6,17.6,52.9,42.1,18.2,32.6,44.6,47.6,37.9,28.1,42.1065112462281
1993:Q2,Bottom50,4.2,8,14.2,22.2,1.5,3.8,5.9,1.8,5.4,32.4,27.7,51.7,20.6,5.9088412605080025
1993:Q3,TopPt1,9.6,8.4,3.4,6,18,0.5,1,20.6,12,0.6,0.4,0.1,5.1,0.9549639837143752
1993:Q3,RemainingTop1,14.8,13.3,7.6,7.6,28.8,2.7,8.6,26.9,15.9,3.8,3.6,1.5,15.3,8.648293141246477
1993:Q3,Next9,34.9,32.6,27.4,21.5,34.6,40.2,42.2,32.6,34.2,18.3,20.3,8.6,28.9,42.24660194174758
1993:Q3,Next40,36.5,37.6,47,42.4,17.1,52.8,42,18.1,32.5,44.2,47.2,37.7,28.4,42.03282179768243
1993:Q3,Bottom50,4.2,8.1,14.6,22.4,1.5,3.7,6.1,1.8,5.5,33.1,28.5,52.2,22.3,6.117319135609145
1993:Q4,TopPt1,9.9,8.6,3.3,6.3,18.2,0.4,1,20.9,12.6,0.6,0.4,0.1,5,0.9600659568511756
1993:Q4,RemainingTop1,15,13.4,7.6,7.6,29.4,2.6,8.8,27.4,16.1,3.7,3.6,1.4,14.4,8.766539203411051
1993:Q4,Next9,34.7,32.4,27.3,21.2,34.3,40.5,42,32.1,33.5,18,20,8.4,28.1,41.96480045283808
1993:Q4,Next40,36.3,37.4,47,42.2,16.6,52.7,42,17.9,32.2,43.9,46.9,37.7,28.5,41.96898428294997
1993:Q4,Bottom50,4.1,8.2,14.8,22.8,1.5,3.7,6.3,1.8,5.5,33.8,29.1,52.5,24,6.33961010394972
1994:Q1,TopPt1,10.1,8.8,3.2,7.1,18,0.4,1,21.3,13.6,0.6,0.4,0.1,5.1,0.9566333145614612
1994:Q1,RemainingTop1,15,13.4,7.6,7.4,29.7,2.4,8.9,27.7,16.2,3.8,3.7,1.4,14.3,8.89817245757567
1994:Q1,Next9,34.7,32.3,27.5,20.4,34.1,40.9,41.7,31.6,33,17.5,19.6,8.3,26.4,41.713642107241284
1994:Q1,Next40,36.3,37.3,46.9,42,16.7,52.6,41.9,17.6,31.8,43.6,46.6,37.3,28.3,41.87294879671893
1994:Q1,Bottom50,4,8.2,14.7,23.1,1.6,3.6,6.6,1.7,5.5,34.5,29.7,53,25.9,6.558603323902654
1994:Q2,TopPt1,10.3,8.9,3.2,7.3,17.9,0.3,1,21.7,14.4,0.6,0.4,0.1,5.1,0.9746412616678193
1994:Q2,RemainingTop1,15,13.4,7.6,7.3,30,2.3,9,28.1,16.2,3.8,3.8,1.3,14.1,9.024090562137044
