Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2016:Q4,Hispanic,2785655,3758735,1275683,330745,360565,673391,375627,213535,529189,973081,651324,301123,20634
2016:Q4,Other,6743126,8411904,2519464,413880,1116228,1436821,815228,675607,1434676,1668777,1155853,417859,95065
2017:Q1,White,77553227,87710428,19959808,4041574,20238455,12025395,7183980,9100606,15160610,10157201,7157747,2364585,634869
2017:Q1,Black,4183295,5452135,1458056,418574,289421,1639357,587518,238830,820379,1268840,709572,542825,16443
2017:Q1,Hispanic,2828325,3809847,1311629,336895,351798,681304,386160,213771,528290,981522,659516,301314,20692
2017:Q1,Other,7078476,8769205,2614714,421104,1268638,1422700,848923,703419,1489707,1690728,1179493,421726,89509
2017:Q2,White,78907234,89148860,20284965,4059601,20784675,12117271,7342650,9428084,15131614,10241626,7183173,2393885,664568
2017:Q2,Black,4273563,5558349,1489842,416181,296278,1666159,622832,248382,818676,1284786,716080,550859,17847
2017:Q2,Hispanic,2851227,3846291,1347115,340412,336418,687918,391812,230945,511670,995064,669080,303834,22150
2017:Q2,Other,7390592,9116349,2724903,424549,1387715,1406751,872356,781029,1519046,1725757,1205641,434180,85936
2017:Q3,White,80154708,90472128,20614458,4071023,21420690,12212915,7538791,9476721,15137530,10317420,7216331,2430226,670863
2017:Q3,Black,4352774,5656278,1518302,410357,303608,1690759,663607,248095,821550,1303504,724977,561873,16654
2017:Q3,Hispanic,2854139,3864618,1377610,342632,320176,693507,398407,231521,500766,1010480,680236,308453,21791
2017:Q3,Other,7675558,9438921,2838598,426292,1517858,1390135,900252,813477,1552309,1763363,1233664,448651,81048
2017:Q4,White,82117339,92552830,20888205,4115671,22522734,12315607,7767976,9652859,15289778,10435491,7244826,2480136,710529
2017:Q4,Black,4438452,5761174,1535938,406586,315585,1713273,709339,251626,828826,1322722,732990,572269,17463
2017:Q4,Hispanic,2858741,3884375,1395121,348102,305710,698123,405760,239173,492386,1025634,690121,312659,22854
2017:Q4,Other,8041750,9843538,2945406,430375,1690497,1373339,932509,868308,1603103,1801787,1260857,465688,75242
2018:Q1,White,82871881,93338119,21314017,4163268,22444833,12409267,7717021,9745086,15544628,10466238,7260738,2468119,737381
2018:Q1,Black,4507453,5828726,1572028,407376,313483,1731117,708433,251763,844525,1321273,730709,572243,18321
2018:Q1,Hispanic,2877726,3903451,1437548,352770,281304,700729,399025,241326,490749,1025725,691608,310392,23725
2018:Q1,Other,8317762,10140611,3072062,437154,1768732,1353210,929980,909267,1670207,1822850,1282870,469158,70822
2018:Q2,White,83812430,94360696,21567682,4211566,22763819,12517878,7809664,9849784,15640302,10548266,7308604,2492768,746894
2018:Q2,Black,4543478,5870584,1582777,405602,315154,1747274,729292,251736,838749,1327106,732361,575376,19369
2018:Q2,Hispanic,2851877,3883155,1451563,356742,258715,702544,398099,243626,471866,1031278,696471,309845,24962
2018:Q2,Other,8576865,10436311,3171014,442917,1881938,1334130,944794,952763,1708755,1859446,1310356,480200,68890
2018:Q3,White,85455390,96118782,21811212,4250681,23741560,12643921,8010420,9909749,15751240,10663393,7367390,2541303,754700
2018:Q3,Black,4582492,5919844,1588240,401521,323324,1761716,765685,249576,829782,1337352,734847,584004,18501
2018:Q3,Hispanic,2816496,3855159,1460177,358689,238998,703562,400805,242606,450322,1038663,701656,312399,24608
2018:Q3,Other,8894987,10795460,3267390,447452,2054994,1316513,971883,988353,1748876,1900474,1339516,496862,64096
2018:Q4,White,82198228,92946806,22017016,4308567,20363676,12723172,7390293,9938795,16205287,10748578,7406950,2591760,749868
2018:Q4,Black,4427478,5768068,1581004,393903,282498,1765278,667393,245745,832247,1340590,731881,589211,19498
2018:Q4,Hispanic,2712217,3752287,1450534,362052,194115,700105,365629,239072,440781,1040070,701552,312592,25926
2018:Q4,Other,8742318,10683570,3362710,450978,1841350,1287791,895369,1018126,1827246,1941251,1364036,513478,63737
