Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q4,Next40,15571464,19009478,6833406,1432767,1616452,3867945,1525036,952154,2781718,3438014,2606099,733592,98323
2001:Q4,Bottom50,1352139,3815438,1955037,764470,119178,213102,210822,72616,480213,2463300,1437502,981331,44467
2002:Q1,TopPt1,4221274,4253532,468630,157937,1292455,24688,40814,1088358,1180651,32258,21566,2758,7934
2002:Q1,RemainingTop1,7200999,7572638,1455463,366691,2124731,247611,326833,1506809,1544500,371639,260650,21186,89803
2002:Q1,Next9,15769989,17104922,4137972,657111,3021532,3466074,1428474,1626564,2767195,1334934,1041281,154393,139260
2002:Q1,Next40,15808624,19324446,6998483,1446684,1606762,3899797,1581086,980552,2811082,3515822,2691237,730353,94232
2002:Q1,Bottom50,1379147,3844903,1975851,769850,116436,212641,216022,73559,480545,2465756,1447675,974825,43256
2002:Q2,TopPt1,4090530,4124113,482931,177324,1151991,24952,35745,1076898,1174272,33583,23409,3376,6798
2002:Q2,RemainingTop1,7042437,7430316,1513808,357148,1901410,239528,308272,1537542,1572608,387879,270142,21849,95888
2002:Q2,Next9,15561053,16915127,4245699,665048,2731451,3527660,1344928,1613055,2787285,1354074,1073989,157629,122456
2002:Q2,Next40,15720441,19339924,7149378,1464948,1480295,3926761,1473657,1007868,2837017,3619483,2794084,745138,80261
2002:Q2,Bottom50,1337647,3842566,1993494,778504,104488,212131,200553,74182,479214,2504920,1477505,989653,37762
2002:Q3,TopPt1,3858115,3893669,493743,180402,900542,25233,30317,1082166,1181266,35554,24836,3817,6901
2002:Q3,RemainingTop1,6732509,7139179,1563567,350429,1513454,231404,286950,1575902,1617473,406669,280260,22835,103574
2002:Q3,Next9,15184730,16546187,4311112,689041,2234538,3590632,1253130,1616217,2851517,1361457,1088895,160627,111935
2002:Q3,Next40,15566722,19309338,7326385,1485646,1261938,3954863,1355476,1036987,2888043,3742616,2912950,758197,71469
