Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1996:Q1,TopPt1,3357580,420012,239000,181012,2937568,186487,85574,733483,502729,230754,85846,68617,17229,949143,25769,892,24194,10107,828309,7765,35719,35089,16509,1683,1246,15651,630,3321860,100596,
1996:Q1,RemainingTop1,4834275,797598,615065,182533,4036677,343983,158764,474992,344280,130711,77786,55899,21887,1499471,62967,13533,191562,127940,1064717,20962,180777,178691,136477,11564,2208,28441,2086,4653498,894604,
1996:Q1,Next9,10583330,2756202,2234236,521966,7827128,979198,240287,481248,364745,116504,66763,24111,42652,1624109,129142,267808,564372,2332765,1070266,71171,763748,759710,608889,92106,1955,56760,4038,9819582,8958059,
1996:Q1,Next40,12317860,5161158,4098337,1062821,7156702,1194635,107292,257673,185016,72656,28155,6478,21677,748306,277369,298402,611240,2876636,608200,148793,2038179,2029583,1534290,427264,7163,60867,8596,10279681,39836152,
1996:Q1,Bottom50,2877461,2024562,1410470,614092,852899,176722,9601,31142,27597,3544,3748,892,2855,77943,75347,16682,140113,186454,65884,69264,1797178,1794816,1082141,629590,4637,78448,2362,1080282,49789319,
1996:Q2,TopPt1,3392143,415585,241606,173979,2976558,183164,79470,755658,517909,237749,81757,65698,16060,990921,24869,922,25420,11284,815324,7769,39334,38723,17442,1941,1803,17536,612,3352809,101383,
1996:Q2,RemainingTop1,4883214,809997,626592,183405,4073217,339144,149586,493023,355639,137384,77952,55847,22105,1524745,60953,14257,199899,133977,1058735,20947,185959,183888,138750,11715,2673,30750,2071,4697255,896594,
1996:Q2,Next9,10763594,2789240,2255181,534059,7974354,968791,240916,504044,381214,122830,66118,24457,41661,1694213,134886,273111,567227,2368458,1084727,71861,788995,784799,625713,97416,2763,58908,4195,9974599,8982847,
1996:Q2,Next40,12523236,5223166,4148657,1074509,7300070,1205810,111414,268759,190189,78570,28019,6385,21634,790018,282499,300061,637664,2904552,621855,149419,2087490,2078815,1569361,439564,10315,59575,8675,10435747,39953714,
1996:Q2,Bottom50,2904340,2037421,1424541,612879,866919,179128,9150,30754,26772,3982,3638,832,2806,82297,75821,16584,142789,189005,68674,69079,1809835,1807476,1080395,645943,5992,75145,2359,1094505,49934279,
1996:Q3,TopPt1,3386766,414964,244977,169987,2971802,182536,80267,755288,527908,227380,78495,63633,14861,995250,24526,951,26986,12480,807196,7827,42790,42197,18417,2201,2132,19448,593,3343976,102190,
1996:Q3,RemainingTop1,4891071,824528,639922,184605,4066543,339322,152399,496605,365816,130789,78606,56277,22328,1499120,60620,14946,209340,140028,1054486,21072,190914,188859,141136,11870,2701,33151,2054,4700157,898589,
1996:Q3,Next9,10918302,2829582,2284347,545235,8088721,967799,251165,518603,393724,124878,65939,25288,40651,1710432,142508,277249,574268,2403870,1103850,73038,815236,810883,644301,102627,3155,60800,4352,10103066,9007624,
1996:Q3,Next40,12716892,5287294,4197231,1090063,7429598,1222914,118745,264937,193385,71552,28027,6436,21591,814496,289546,301137,670892,2932247,635552,151106,2135349,2126596,1605395,451397,11732,58072,8753,10581543,40072797,
1996:Q3,Bottom50,2929078,2047725,1432396,615329,881353,182401,9146,29571,25877,3694,3534,778,2756,84869,76615,16472,146249,191571,71541,69384,1821794,1819439,1079589,661752,6358,71740,2355,1107283,50080856,
1996:Q4,TopPt1,3506973,427946,250661,177285,3079027,179838,82835,762081,538845,223236,93318,79681,13637,1049004,24279,942,32010,13635,833219,7865,45708,45134,19264,2472,1813,21585,574,3461265,103001,
1996:Q4,RemainingTop1,5001905,841565,658085,183480,4160340,335575,158326,505172,376267,128905,86614,64047,22567,1540852,60591,14976,229223,145701,1062164,21145,193773,191735,143247,12002,2095,34391,2038,4808132,900602,
