Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1994:Q1,pct00to20,3.6,3.6,5.2,5,1.3,3.2,1,3.6,3.3,3.4,2.3,7.8,1.3,0.9773169483159313
1994:Q2,pct99to100,17.7,16.1,9.3,11.5,31.1,2.4,11.7,31.9,21.9,6.1,6,1.6,26.6,11.665007668876802
1994:Q2,pct80to99,42.5,42.7,41.3,35.6,45.9,46.2,57.5,41.7,39.2,44.1,47.4,32.8,45.2,57.541460986832504
1994:Q2,pct60to80,17.1,18.2,20.8,22.8,11.3,24,18.8,11.6,15.6,24.9,25.6,25.6,12.2,18.81130016773425
1994:Q2,pct40to60,11.5,11.8,13.5,14.9,6.5,15.7,7.8,7.5,11.7,13.9,12.4,20.4,7,7.828176482270657
1994:Q2,pct20to40,7.5,7.5,9.9,10.2,3.8,8.5,3.1,3.4,8.2,7.5,6.2,12.1,7.6,3.0887268707393467
1994:Q2,pct00to20,3.7,3.7,5.2,5,1.4,3.2,1.1,3.8,3.3,3.4,2.3,7.6,1.4,1.0653278235464427
1994:Q3,pct99to100,17.7,16.1,9.2,11.3,31.1,2.3,11.6,31.9,22.5,6,6,1.5,25.9,11.645649695520396
1994:Q3,pct80to99,42.4,42.6,40.8,35.7,45.9,46.4,57.3,41.7,38.8,43.9,47.2,32.8,44.7,57.327901825023865
1994:Q3,pct60to80,17.1,18.2,21,22.9,11.4,23.7,18.6,11.5,15.6,25,25.7,25.8,12.5,18.648796448201395
1994:Q3,pct40to60,11.4,11.8,13.6,14.9,6.4,15.7,8,7.3,11.6,13.9,12.4,20.4,7.1,8.039454902724096
1994:Q3,pct20to40,7.6,7.6,10.1,10.1,3.8,8.6,3.2,3.5,8.3,7.7,6.3,12.2,8.2,3.204856380168507
1994:Q3,pct00to20,3.8,3.7,5.4,5,1.4,3.2,1.1,4.1,3.4,3.4,2.4,7.3,1.7,1.1333407483617421
1994:Q4,pct99to100,17.9,16.2,9.2,11.3,30.6,2.2,11.6,31.9,23.2,6,6,1.5,26.1,11.648473737003002
1994:Q4,pct80to99,42.2,42.4,40.5,35.7,46.1,46.6,57.3,41.7,38.3,43.5,47,32.6,45.1,57.31429294983372
1994:Q4,pct60to80,17,18.1,21.1,23,11.5,23.4,18.3,11.3,15.5,25.2,25.8,26.2,12.4,18.276877580946234
1994:Q4,pct40to60,11.4,11.8,13.6,14.9,6.5,15.8,8.2,7,11.4,14,12.4,20.5,6.7,8.167825035112832
1994:Q4,pct20to40,7.6,7.7,10.1,10.1,3.9,8.6,3.3,3.6,8.2,7.9,6.4,12.5,8.4,3.3415978073955475
1994:Q4,pct00to20,3.9,3.8,5.4,5,1.4,3.2,1.3,4.4,3.4,3.4,2.4,6.7,1.4,1.2509328897086585
1995:Q1,pct99to100,18.1,16.4,9.2,11.4,31.2,2.2,11.6,31.9,23.6,6,6,1.5,25.2,11.629309242647482
1995:Q1,pct80to99,42.2,42.4,40.4,35.6,45.7,46.9,57.1,41.8,38.1,43.5,46.7,33.1,44.3,57.06041077068495
1995:Q1,pct60to80,16.9,18.1,21.2,23,11.6,23.1,18.2,11.2,15.3,25.2,26,25.8,12.8,18.20882006296615
1995:Q1,pct40to60,11.3,11.7,13.6,14.8,6.3,15.9,8.4,6.8,11.2,13.9,12.4,20.3,7,8.377323475075107
1995:Q1,pct20to40,7.6,7.7,10.2,10.1,3.9,8.7,3.4,3.7,8.3,8,6.5,12.2,9,3.432989731012031
1995:Q1,pct00to20,3.9,3.8,5.4,5.1,1.4,3.2,1.3,4.6,3.4,3.5,2.4,7.1,1.8,1.2911467176142761
1995:Q2,pct99to100,18.3,16.5,8.9,11,31.8,2.2,11.5,31.8,24.1,5.9,5.9,1.4,24.6,11.544113221796676
1995:Q2,pct80to99,41.9,42.1,39.7,35.9,45.4,46.6,56.8,41.8,37.8,43.2,46.4,33.3,43.9,56.838051352026454
1995:Q2,pct60to80,16.9,18.1,21.5,23.2,11.6,23.5,18.2,11.1,15.2,25.4,26.2,26,13,18.19002987341745
1995:Q2,pct40to60,11.2,11.6,13.8,15,6.1,15.8,8.6,6.6,11.1,14,12.4,20.2,7.1,8.587076298380529
1995:Q2,pct20to40,7.7,7.7,10.4,9.9,3.9,8.7,3.5,3.8,8.4,8.1,6.6,12.2,9.4,3.5146669478783696
1995:Q2,pct00to20,3.9,3.9,5.7,5,1.3,3.2,1.3,4.9,3.4,3.5,2.4,7,1.9,1.3260623065005175
1995:Q3,pct99to100,18.6,16.8,8.6,10.8,32.5,2.2,11.5,31.8,24.6,5.9,5.9,1.4,25,11.523743691002588
1995:Q3,pct80to99,41.7,41.9,39,36,44.9,46.4,56.6,41.8,37.5,43,46.2,33.3,44.4,56.5824589883541
1995:Q3,pct60to80,16.9,18.2,21.7,23.3,11.6,23.9,18.2,11,15.1,25.5,26.3,26.2,12.9,18.190963623133108
1995:Q3,pct40to60,11.1,11.5,14,15,5.8,15.7,8.8,6.3,10.9,14,12.4,20.2,6.7,8.775920402642315
1995:Q3,pct20to40,7.7,7.8,10.7,9.9,3.8,8.6,3.6,3.9,8.5,8.2,6.7,12.3,9.5,3.5819721822173056
1995:Q3,pct00to20,4,3.9,5.9,4.9,1.3,3.2,1.3,5.2,3.4,3.4,2.5,6.7,1.6,1.3449411126505835
1995:Q4,pct99to100,18.8,16.9,8.7,10.7,33,2.3,11.3,31.6,24.4,5.8,5.9,1.4,24.4,11.312753740766478
1995:Q4,pct80to99,41.8,41.9,39.1,36.2,44.9,45.9,56.4,42.2,37.8,42.6,46,32.5,43.8,56.3685919271418
1995:Q4,pct60to80,16.9,18.2,21.8,23.2,11.5,24.4,18.8,10.9,15.1,25.9,26.5,26.9,13.5,18.810015763154343
1995:Q4,pct40to60,10.9,11.4,14,15.1,5.6,15.6,8.8,6.4,10.9,14.2,12.5,20.4,7.2,8.775942611794463
1995:Q4,pct20to40,7.6,7.7,10.7,9.9,3.8,8.6,3.5,4,8.5,8.2,6.6,12.5,8.9,3.464485179859198
1995:Q4,pct00to20,3.9,3.8,5.8,4.9,1.2,3.2,1.3,5,3.4,3.3,2.4,6.3,2.1,1.2682107772837217
1996:Q1,pct99to100,18.8,17,8.8,10.7,33.1,2.4,11.1,31.3,24.3,5.9,5.9,1.3,26.1,11.097342256052476
1996:Q1,pct80to99,42,42.1,39.3,36.2,45.1,45.5,56.2,42.6,38,42.7,45.9,32.7,45.8,56.1849926578285
1996:Q1,pct60to80,17,18.2,21.7,23.1,11.4,24.9,19.4,10.8,15,25.9,26.7,26.8,13.2,19.393761174146164
1996:Q1,pct40to60,10.8,11.3,13.9,15.1,5.6,15.4,8.8,6.5,10.7,14.1,12.7,20.4,5.7,8.777488516994097
1996:Q1,pct20to40,7.6,7.7,10.6,10,3.7,8.6,3.4,4.1,8.5,8,6.6,12.1,7.8,3.3503413663485215
1996:Q1,pct00to20,3.8,3.8,5.7,5,1.2,3.2,1.2,4.7,3.4,3.3,2.3,6.7,1.3,1.1960740286302411
1996:Q2,pct99to100,18.7,16.9,8.8,10.4,33.1,2.4,10.9,30.8,24.1,5.9,5.9,1.4,25.9,10.873847301017662
1996:Q2,pct80to99,42,42.1,39.1,36.4,45.3,45.1,56.1,43,38,42.6,45.9,32.3,45.6,56.074248415469356
1996:Q2,pct60to80,17.1,18.3,21.8,23,11.3,25.4,19.9,10.7,15.1,26,26.7,27.1,13.7,19.89474418852379
1996:Q2,pct40to60,10.8,11.3,14,15.3,5.5,15.3,8.8,6.6,10.7,14.2,12.7,20.5,5.9,8.764828286649905
1996:Q2,pct20to40,7.6,7.7,10.6,10,3.7,8.6,3.2,4.2,8.6,7.9,6.5,12.2,7.2,3.247897546847193
1996:Q2,pct00to20,3.8,3.8,5.7,4.9,1.2,3.2,1.1,4.6,3.5,3.3,2.3,6.6,1.6,1.1444342614920944
1996:Q3,pct99to100,18.5,16.7,8.8,10.1,32.7,2.5,10.7,30.4,24.1,5.9,5.9,1.4,25.8,10.668580457621191
1996:Q3,pct80to99,42,42.1,39,36.6,45.7,44.7,55.9,43.4,37.9,42.4,45.9,31.9,45.6,55.94832049654923
